internal,kcup,miniserve
10343.1,10042.17,4221.30
10359.2,12892.29,4545.64
10366.5,14791.02,4697.73
10367.4,15132.19,4926.90
10389.4,15204.64,4929.17
10804.2,15508.53,4996.02
10916.1,15907.14,5177.64
10969.6,15977.22,5205.66
10996.5,17088.79,5339.28
11037.3,17521.53,5377.01
11082.1,17656.01,5390.65
11084.3,17812.64,5438.89
11095.0,18190.49,5692.64
11157.0,18653.20,5839.89
11219.8,19223.21,5844.00
11227.6,19613.72,5859.43
11352.6,19925.97,5920.81
11384.8,20024.07,5923.81
11398.1,20329.13,6054.06
11408.8,20348.76,6103.40
11456.1,20374.33,6334.08
11478.6,20462.43,6340.15
11573.9,20485.00,6344.16
11596.5,20536.97,6539.61
11695.3,20592.98,6558.37
11834.3,20604.06,6573.33
11894.8,20740.49,6618.88
12040.7,20826.50,6628.60
12070.9,20946.18,6663.38
12365.9,21002.71,6668.75
12413.6,21222.64,6748.46
12488.3,21353.27,6776.05
12544.0,21612.57,6797.09
12633.1,21630.32,6858.32
12676.5,21649.02,6964.47
12679.7,21652.73,6964.75
12723.3,21711.26,6971.51
12798.9,21736.47,6975.10
12914.4,21745.06,7055.34
12980.4,21772.83,7059.51
13026.1,21822.70,7125.75
13055.8,21895.69,7130.07
13245.8,21914.19,7148.16
13281.7,21975.61,7156.76
13308.3,21979.87,7205.14
13310.5,21995.20,7205.22
13453.6,21997.70,7234.14
13519.2,22011.30,7245.73
13841.0,22021.42,7250.95
13901.7,22076.78,7252.76
13906.8,22112.27,7273.83
14033.8,22277.60,7395.95
14278.2,22289.99,7405.04
14301.9,22327.14,7444.50
14317.7,22383.01,7453.48
14337.2,22421.89,7491.11
14375.7,22455.54,7505.26
14377.8,22465.05,7531.79
14511.3,22477.51,7542.20
14533.3,22511.86,7542.40
14827.5,22523.49,7550.60
15241.3,22532.07,7582.57
15288.7,22536.46,7587.85
15497.8,22540.08,7606.28
15550.5,22586.32,7633.40
15668.9,22589.21,7655.50
15709.0,22613.76,7659.56
15826.1,22660.42,7670.76
16057.0,22726.29,7717.82
4114.4,22769.37,7763.55
5765.4,22866.52,7786.73
6204.4,22878.21,7812.24
6492.2,22881.89,7827.51
6567.6,22895.57,7848.22
6648.8,22901.17,7848.84
7387.1,22931.58,7874.40
7631.3,22987.17,7893.88
8030.3,23093.80,7911.29
8406.7,23102.95,7919.59
8475.4,23121.24,7921.19
8509.7,23156.04,7925.03
8585.5,23176.54,7936.01
8612.9,23235.74,7996.32
8785.0,23243.24,8003.85
9045.7,23403.60,8012.16
9200.4,23529.92,8015.27
9261.8,23632.43,8031.46
9271.7,23667.24,8070.75
9339.1,23671.94,8079.40
9366.6,23697.54,8092.70
9367.9,23713.08,8102.09
9373.5,23728.78,8114.71
9412.2,23741.67,8191.31
9451.8,23778.39,8249.66
9485.5,23780.95,8344.65
9792.5,23923.44,8392.73
9798.0,24013.33,8461.15
9877.5,24328.40,8561.61
9908.2,25023.19,8562.38
9958.4,25345.27,8967.62
